EventId,Type,Severity,TMC,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,Number,Street,City,State
T-4977920,Congestion,0,72,2020-12-31 23:10:00,2020-12-31 23:51:34,41.931011,-87.784958,6357.0,W Diversey Ave,Chicago,IL
T-4977921,Congestion,0,72,2020-12-31 23:11:00,2020-12-31 23:52:26,41.937531,-87.776169,3132.0,N Austin Ave,Chicago,IL
T-4977923,Congestion,0,72,2020-12-31 23:04:00,2020-12-31 23:52:26,41.946159,-87.74453,4651.0,W Addison St,Chicago,IL
T-4977925,Congestion,1,72,2020-12-31 22:50:00,2020-12-31 23:51:34,41.95961,-87.807228,4364.0,N Harlem Ave,Norridge,IL
T-4977930,Congestion,1,72,2020-12-31 23:07:00,2020-12-31 23:52:26,41.986061,-87.664032,5713.0,N Ridge Ave,Chicago,IL
T-4977931,Congestion,0,72,2020-12-31 23:04:00,2020-12-31 23:51:34,41.990009,-87.806892,7200.0,W Peterson Ave,Chicago,IL
T-4978650,Construction,3,701,2020-12-31 15:00:00,2020-12-31 21:00:00,37.762638,-97.321136,,I-235 S,Wichita,KS
T-4978651,Accident,3,241,2020-12-31 06:26:56,2020-12-31 06:56:25,37.216164,-88.70015,,I-24 W,Metropolis,IL
T-4978661,Congestion,0,76,2020-12-31 19:16:00,2020-12-31 20:02:48,37.686661,-92.6698,194.0,E 7th St,Lebanon,MO
T-4978662,Congestion,1,73,2020-12-31 19:32:00,2020-12-31 20:31:36,37.731007,-85.885597,1682.0,N Dixie Hwy,Elizabethtown,KY
T-4978730,Accident,2,201,2020-12-31 10:59:21,2020-12-31 13:14:13,30.33149,-98.024567,18200.0,State Highway 71 W,Spicewood,TX
T-4978731,Accident,3,245,2020-12-31 11:34:36,2020-12-31 12:04:02,29.452848,-98.63031,,Connally Loop,San Antonio,TX
T-4978732,Accident,2,201,2020-12-31 11:58:28,2020-12-31 12:28:01,29.456644,-98.412918,,I-35 N,San Antonio,TX
T-4978733,Accident,2,201,2020-12-31 12:14:39,2020-12-31 13:14:31,29.38056,-98.468208,201.0,Sandra Dr,San Antonio,TX
T-4978734,Accident,2,201,2020-12-31 13:01:52,2020-12-31 13:47:19,29.308445,-98.398636,,I-37 N,San Antonio,TX
T-4978735,Accident,2,201,2020-12-31 13:01:10,2020-12-31 13:30:59,29.466311,-98.474365,,US-281 S,San Antonio,TX
T-4978736,Accident,2,201,2020-12-31 14:04:07,2020-12-31 14:33:40,29.60866,-98.507973,,TX-1604,San Antonio,TX
T-4978737,Accident,2,201,2020-12-31 14:05:22,2020-12-31 14:34:36,29.46332,-98.516319,3776.0,W Interstate 10,San Antonio,TX
T-4978738,Accident,2,201,2020-12-31 14:27:57,2020-12-31 16:33:19,29.515837,-98.436111,,Connally Loop,San Antonio,TX
T-4978739,Accident,2,201,2020-12-31 14:26:54,2020-12-31 15:29:37,29.545998,-98.438202,,Wurzbach Pkwy,San Antonio,TX
